response,reason,week,values
Enough - Wanted,not_want_employ,28,0.5912057280865727
Enough - Wanted,not_want_employ,29,0.5242404861071815
Enough - Wanted,not_want_employ,30,0.5814419043106506
Enough - Wanted,not_want_employ,31,0.6785074653406993
Enough - Wanted,not_want_employ,32,0.6208941726591358
Enough - Wanted,not_want_employ,33,0.5216057337498121
Enough - Wanted,not_want_employ,34,0.5510792477266698
Enough - Wanted,not_want_employ,35,0.7362366587466094
Enough - Wanted,not_want_employ,36,0.5648668546119897
Enough - Not Always Wanted,not_want_employ,28,0.16547448343078314
Enough - Not Always Wanted,not_want_employ,29,0.18437527328096623
Enough - Not Always Wanted,not_want_employ,30,0.17802154123335148
Enough - Not Always Wanted,not_want_employ,31,0.18126695706074228
Enough - Not Always Wanted,not_want_employ,32,0.11051610429035784
Enough - Not Always Wanted,not_want_employ,33,0.18010752740859182
Enough - Not Always Wanted,not_want_employ,34,0.2205739090705707
Enough - Not Always Wanted,not_want_employ,35,0.20956217310199857
Enough - Not Always Wanted,not_want_employ,36,0.1558162271677844
Sometimes Not Enough,not_want_employ,28,0.02842068635122666
Sometimes Not Enough,not_want_employ,29,0.02850733674254613
Sometimes Not Enough,not_want_employ,30,0.02517890623179259
Sometimes Not Enough,not_want_employ,31,0.05048080994204538
Sometimes Not Enough,not_want_employ,32,0.03276163986515626
Sometimes Not Enough,not_want_employ,33,0.03322115166946582
Sometimes Not Enough,not_want_employ,34,0.02058056410116024
Sometimes Not Enough,not_want_employ,35,0.02003875578475573
Sometimes Not Enough,not_want_employ,36,0.06399165240062195
Often Not Enough,not_want_employ,28,0.00733347295963508
Often Not Enough,not_want_employ,29,0.00714117101715675
Often Not Enough,not_want_employ,30,0.03867020787567281
Often Not Enough,not_want_employ,31,0.00333637050309757
Often Not Enough,not_want_employ,32,0.00544680671528041
Often Not Enough,not_want_employ,33,0.01909492505205167
Often Not Enough,not_want_employ,34,0.00285670727965948
Often Not Enough,not_want_employ,35,0.00805732960709146
Often Not Enough,not_want_employ,36,0.01515603650013349
Did not report,not_want_employ,28,0.2075656291717824
Did not report,not_want_employ,29,0.25573573285214923
Did not report,not_want_employ,30,0.17668744034853248
Did not report,not_want_employ,31,0.08640839715341546
Did not report,not_want_employ,32,0.2303812764700696
Did not report,not_want_employ,33,0.24597066212007865
Did not report,not_want_employ,34,0.2049095718219397
Did not report,not_want_employ,35,0.0261050827595449
Did not report,not_want_employ,36,0.2001692293194704
Enough - Wanted,covid_combo,28,0.25934005350173966
Enough - Wanted,covid_combo,29,0.2245093450051394
Enough - Wanted,covid_combo,30,0.27798759319653554
Enough - Wanted,covid_combo,31,0.28250348594337016
Enough - Wanted,covid_combo,32,0.30842128088550913
Enough - Wanted,covid_combo,33,0.3725269546725774
Enough - Wanted,covid_combo,34,0.16352810622670344
Enough - Wanted,covid_combo,35,0.3902486053969334
Enough - Wanted,covid_combo,36,0.3611451096554595
Enough - Not Always Wanted,covid_combo,28,0.2589072565967137
Enough - Not Always Wanted,covid_combo,29,0.32114075175052964
Enough - Not Always Wanted,covid_combo,30,0.298473463747463
Enough - Not Always Wanted,covid_combo,31,0.20948256799164977
Enough - Not Always Wanted,covid_combo,32,0.3283167833326991
Enough - Not Always Wanted,covid_combo,33,0.1933120679733733
Enough - Not Always Wanted,covid_combo,34,0.25446800250441526
Enough - Not Always Wanted,covid_combo,35,0.23329758749995705
Enough - Not Always Wanted,covid_combo,36,0.29789869931322666
Sometimes Not Enough,covid_combo,28,0.1906062966129674
Sometimes Not Enough,covid_combo,29,0.11161687328787506
Sometimes Not Enough,covid_combo,30,0.15363558018891835
Sometimes Not Enough,covid_combo,31,0.20061389267304544
Sometimes Not Enough,covid_combo,32,0.21759289884548003
Sometimes Not Enough,covid_combo,33,0.14521872772524586
Sometimes Not Enough,covid_combo,34,0.2408210711985512
Sometimes Not Enough,covid_combo,35,0.20742619688392572
Sometimes Not Enough,covid_combo,36,0.14996665352037866
Often Not Enough,covid_combo,28,0.0170214049285938
Often Not Enough,covid_combo,29,0.10610469558559298
Often Not Enough,covid_combo,30,0.0716930367566573
Often Not Enough,covid_combo,31,0.08571467854274391
Often Not Enough,covid_combo,32,0.03702672612901108
Often Not Enough,covid_combo,33,0.07647857005846789
Often Not Enough,covid_combo,34,0.04149115936922845
Often Not Enough,covid_combo,35,0.02531595535895347
Often Not Enough,covid_combo,36,0.06817154364111729
Did not report,covid_combo,28,0.27412498835998544
Did not report,covid_combo,29,0.23662833437086295
Did not report,covid_combo,30,0.1982103261104258
Did not report,covid_combo,31,0.2216853748491907
Did not report,covid_combo,32,0.10864231080730068
Did not report,covid_combo,33,0.21246367957033557
Did not report,covid_combo,34,0.29969166070110165
Did not report,covid_combo,35,0.14371165486023035
Did not report,covid_combo,36,0.12281799386981793
Enough - Wanted,children,28,0.4322436757463378
Enough - Wanted,children,29,0.2649102632374532
Enough - Wanted,children,30,0.313707847058888
Enough - Wanted,children,31,0.32430548581647745
Enough - Wanted,children,32,0.3509610506656926
Enough - Wanted,children,33,0.33273564545253165
Enough - Wanted,children,34,0.32071792323934917
Enough - Wanted,children,35,0.27314151415464766
Enough - Wanted,children,36,0.2907249403278614
Enough - Not Always Wanted,children,28,0.23689298738452583
Enough - Not Always Wanted,children,29,0.3479922190317867
Enough - Not Always Wanted,children,30,0.3314829708332364
Enough - Not Always Wanted,children,31,0.35986949664944456
Enough - Not Always Wanted,children,32,0.4172823282693531
Enough - Not Always Wanted,children,33,0.40565752710010494
Enough - Not Always Wanted,children,34,0.33988161778187864
Enough - Not Always Wanted,children,35,0.3227149533605317
Enough - Not Always Wanted,children,36,0.33140358654088276
Sometimes Not Enough,children,28,0.1166750995914284
Sometimes Not Enough,children,29,0.1996360236641127
Sometimes Not Enough,children,30,0.20178718589402775
Sometimes Not Enough,children,31,0.14314331186396287
Sometimes Not Enough,children,32,0.18041876324685313
Sometimes Not Enough,children,33,0.19987899865749567
Sometimes Not Enough,children,34,0.15113059010711477
Sometimes Not Enough,children,35,0.1786499035128043
Sometimes Not Enough,children,36,0.15107112726844915
Often Not Enough,children,28,0.04831865929773546
Often Not Enough,children,29,0.04774981103001764
Often Not Enough,children,30,0.04564448063659739
Often Not Enough,children,31,0.03471305571779654
Often Not Enough,children,32,0.03378333273855881
Often Not Enough,children,33,0.04652160240907868
Often Not Enough,children,34,0.03374529044011096
Often Not Enough,children,35,0.05149794575647876
Often Not Enough,children,36,0.0775838343652094
Did not report,children,28,0.16586957797997243
Did not report,children,29,0.13971168303662976
Did not report,children,30,0.10737751557725043
Did not report,children,31,0.13796864995231856
Did not report,children,32,0.01755452507954234
Did not report,children,33,0.01520622638078909
Did not report,children,34,0.15452457843154652
Did not report,children,35,0.17399568321553754
Did not report,children,36,0.14921651149759735
Enough - Wanted,sick_not_covid,28,0.3013038399030107
Enough - Wanted,sick_not_covid,29,0.33805760627279935
Enough - Wanted,sick_not_covid,30,0.309887799430713
Enough - Wanted,sick_not_covid,31,0.25888848766396
Enough - Wanted,sick_not_covid,32,0.35808880444725916
Enough - Wanted,sick_not_covid,33,0.32592014514585116
Enough - Wanted,sick_not_covid,34,0.27453419963340886
Enough - Wanted,sick_not_covid,35,0.2661062236529096
Enough - Wanted,sick_not_covid,36,0.3177701788441187
Enough - Not Always Wanted,sick_not_covid,28,0.4654967177675103
Enough - Not Always Wanted,sick_not_covid,29,0.35873183608228
Enough - Not Always Wanted,sick_not_covid,30,0.3564805272697751
Enough - Not Always Wanted,sick_not_covid,31,0.31649961612533833
Enough - Not Always Wanted,sick_not_covid,32,0.4399227058640284
Enough - Not Always Wanted,sick_not_covid,33,0.3750620370565369
Enough - Not Always Wanted,sick_not_covid,34,0.37962692287421235
Enough - Not Always Wanted,sick_not_covid,35,0.3897211950690133
Enough - Not Always Wanted,sick_not_covid,36,0.4201511429772437
Sometimes Not Enough,sick_not_covid,28,0.16728439685227703
Sometimes Not Enough,sick_not_covid,29,0.12074783675329856
Sometimes Not Enough,sick_not_covid,30,0.16072135091341072
Sometimes Not Enough,sick_not_covid,31,0.2148863665937955
Sometimes Not Enough,sick_not_covid,32,0.15143009173934735
Sometimes Not Enough,sick_not_covid,33,0.16068779774310282
Sometimes Not Enough,sick_not_covid,34,0.17288817989775904
Sometimes Not Enough,sick_not_covid,35,0.1538969677134674
Sometimes Not Enough,sick_not_covid,36,0.18836962941035457
Often Not Enough,sick_not_covid,28,0.04117780588642573
Often Not Enough,sick_not_covid,29,0.04016606485706952
Often Not Enough,sick_not_covid,30,0.05253561357408187
Often Not Enough,sick_not_covid,31,0.05663257339163023
Often Not Enough,sick_not_covid,32,0.03555530254692717
Often Not Enough,sick_not_covid,33,0.0599358430542934
Often Not Enough,sick_not_covid,34,0.06888658830798781
Often Not Enough,sick_not_covid,35,0.0687918561540453
Often Not Enough,sick_not_covid,36,0.0457400340257796
Did not report,sick_not_covid,28,0.02473723959077626
Did not report,sick_not_covid,29,0.14229665603455255
Did not report,sick_not_covid,30,0.12037470881201932
Did not report,sick_not_covid,31,0.15309295622527586
Did not report,sick_not_covid,32,0.01500309540243789
Did not report,sick_not_covid,33,0.07839417700021577
Did not report,sick_not_covid,34,0.10406410928663191
Did not report,sick_not_covid,35,0.1214837574105644
Did not report,sick_not_covid,36,0.02796901474250344
